year,days_in_year,days_missing,jjas_days,jjas_missing,jjas_missing_pct,dup_dates,amax_date,amax_m3s,amax_month,prev_day_gap_len,next_day_gap_len,Q2a_pass,Q2b_pass,Q2c_pass,use_in_AMS,provenance_flag,exclusion_reason
1988,366,1,122,0,0.0,0,1988-08-30,98300.0,8,0,0,True,True,True,True,OK,
1989,365,0,122,0,0.0,0,1989-07-10,70700.0,7,0,0,True,True,True,True,OK,
1990,365,0,122,0,0.0,0,1990-07-23,64300.0,7,0,0,True,True,True,True,OK,
1991,365,0,122,0,0.0,0,1991-07-14,84100.0,7,0,0,True,True,True,True,OK,
1992,366,1,122,0,0.0,0,1992-06-30,67000.0,6,0,0,True,True,True,True,OK,
1993,365,0,122,0,0.0,0,1993-07-23,67000.0,7,0,0,True,True,True,True,OK,
1994,365,0,122,0,0.0,0,1994-07-01,40900.0,7,0,0,True,True,True,True,OK,
1995,365,0,122,0,0.0,275,1995-07-11,87000.0,7,0,0,True,True,True,True,PROVISIONAL_DUP_MERGE_MAX,
1996,366,100,122,7,5.74,0,1996-07-15,83800.49,7,0,0,True,True,True,True,OK,
1997,365,63,122,0,0.0,0,1997-07-14,79219.47,7,0,0,True,True,True,True,OK,
1998,365,6,122,0,0.0,0,1998-09-08,103128.84,9,0,0,True,True,True,True,OK,
1999,365,79,122,0,0.0,0,1999-08-29,62786.71,8,0,0,True,True,True,True,OK,
2000,366,0,122,0,0.0,0,2000-08-06,60506.09,8,0,0,True,True,True,True,OK,
2001,365,0,122,0,0.0,0,2001-08-04,192906.27,8,0,0,True,True,True,False,EXCLUDED_F8,EXCLUDED_PHYS_IMPLAUSIBLE (F8)
2002,365,0,122,0,0.0,0,2002-07-28,41193.64,7,0,0,True,True,True,True,OK,
2003,365,0,122,0,0.0,0,2003-07-14,60712.25,7,0,0,True,True,True,True,OK,
2004,366,0,122,0,0.0,0,2004-07-14,72036.79,7,0,0,True,True,True,True,OK,
2005,365,0,122,0,0.0,0,2005-08-30,54996.56,8,0,0,True,True,True,True,OK,
2006,365,0,122,0,0.0,0,2006-06-17,45101.02,6,0,0,True,True,True,True,OK,
2007,365,0,122,0,0.0,0,2007-07-30,42748.62,7,0,0,True,True,True,True,OK,
2008,366,0,122,0,0.0,0,2008-09-07,70601.73,9,0,0,True,True,True,True,OK,
2009,365,0,122,0,0.0,0,2009-08-22,56274.23,8,0,0,True,True,True,True,OK,
2010,365,31,122,0,0.0,0,2010-07-23,54095.94,7,0,0,True,True,True,True,OK,
2011,365,31,122,31,25.41,0,2011-07-23,35814.63,7,0,0,False,True,True,False,OK,FAIL_Q2a (JJAS miss 25.4%)
2012,366,31,122,0,0.0,0,2012-07-01,55933.24,7,0,0,True,True,True,True,OK,
2013,365,61,122,30,24.59,0,2013-09-11,59276.37,9,0,0,False,True,True,False,OK,FAIL_Q2a (JJAS miss 24.6%)
2014,365,151,122,0,0.0,0,2014-08-29,61023.05,8,0,0,True,True,True,True,OK,
2015,365,0,122,0,0.0,0,2015-09-06,66292.01,9,0,0,True,True,True,True,OK,
2016,366,0,122,0,0.0,0,2016-07-29,73226.58,7,0,0,True,True,True,True,OK,
2017,365,0,122,0,0.0,0,2017-08-15,63078.11,8,0,0,True,True,True,True,OK,
2018,365,0,122,0,0.0,0,2018-09-19,46242.83,9,0,0,True,True,True,True,OK,
2019,365,0,122,0,0.0,0,2019-07-18,50828.41,7,0,0,True,True,True,True,OK,
2020,366,0,122,0,0.0,0,2020-07-16,67868.6,7,0,0,True,True,True,True,OK,
2021,365,0,122,0,0.0,0,2021-09-03,55666.53,9,0,0,True,True,True,True,OK,
2022,365,0,122,0,0.0,0,2022-06-22,56883.49,6,0,0,True,True,True,True,OK,
2023,365,0,122,0,0.0,0,2023-09-02,46310.79,9,0,0,True,True,True,True,OK,
2024,366,0,122,0,0.0,0,2024-07-05,59559.45,7,0,0,True,True,True,True,OK,
